X--Trace 1::[V(5) | V(IN)],Y--Trace 1::[V(5) | V(IN)],,X--Trace 2::[V(4) | V(OUT)],Y--Trace 2::[V(4) | V(OUT)]
0,0,,0,0
1e-11,0.01,,1e-11,2.12766e-16
1.084e-11,0.01084,,1.084e-11,2.32266e-16
1.252e-11,0.01252,,1.252e-11,2.74772e-16
1.588e-11,0.01588,,1.588e-11,3.83853e-16
2.26e-11,0.0226,,2.26e-11,7.28556e-16
3.604e-11,0.03604,,3.604e-11,2.16624e-15
6.292e-11,0.06292,,6.292e-11,9.97177e-15
1.1668e-10,0.11668,,1.1668e-10,6.07994e-14
2.242e-10,0.2242,,2.242e-10,4.2729e-13
4.3924e-10,0.43924,,4.3924e-10,3.21135e-12
8.6932e-10,0.86932,,8.6932e-10,2.49178e-11
1e-09,1,,1e-09,3.71232e-11
1.08602e-09,1,,1.08602e-09,4.78489e-11
1.25805e-09,1,,1.25805e-09,7.24488e-11
1.60211e-09,0.999999,,1.60211e-09,1.40539e-10
2.29024e-09,0.999999,,2.29024e-09,3.52279e-10
3.6665e-09,0.999998,,3.6665e-09,1.078e-09
6.41901e-09,0.999997,,6.41901e-09,3.73838e-09
1.1924e-08,0.999994,,1.1924e-08,1.38947e-08
2.29341e-08,0.999989,,2.29341e-08,5.35483e-08
4.49542e-08,0.999978,,4.49542e-08,2.10208e-07
8.89944e-08,0.999956,,8.89944e-08,8.32848e-07
1.77075e-07,0.999912,,1.77075e-07,3.31469e-06
3.53236e-07,0.999824,,3.53236e-07,1.32189e-05
7.05557e-07,0.999649,,7.05557e-07,5.27435e-05
1.4102e-06,0.9993,,1.4102e-06,0.000210288
2.81949e-06,0.998612,,2.81949e-06,0.000836384
5.63806e-06,0.997266,,5.63806e-06,0.00330847
1.12752e-05,0.994708,,1.12752e-05,0.0129345
2.25495e-05,0.990143,,2.25495e-05,0.0492738
4.50981e-05,0.983288,,4.50981e-05,0.176741
7.63481e-05,0.978647,,7.63481e-05,0.429834
0.000107598,0.978907,,0.000107598,0.712057
0.000138848,0.982701,,0.000138848,0.967326
0.000170098,0.988427,,0.000170098,1.1593
0.000201348,0.994585,,0.000201348,1.27225
0.000232598,1.00001,,0.000232598,1.3082
0.000263848,1.00396,,0.000263848,1.28179
0.000295098,1.00618,,0.000295098,1.21436
0.000326348,1.00674,,0.000326348,1.12849
0.000357598,1.00599,,0.000357598,1.04384
0.000388848,1.00443,,0.000388848,0.974542
0.000420098,1.00253,,0.000420098,0.928292
0.000451348,1.00071,,0.000451348,0.906774
0.000482598,0.999259,,0.000482598,0.906993
0.000513848,0.998327,,0.000513848,0.923044
0.000545098,0.997933,,0.000545098,0.947914
0.000576348,0.997998,,0.000576348,0.974973
0.000607598,0.998388,,0.000607598,0.999007
0.000638848,0.998948,,0.000638848,1.01672
0.000670098,0.999536,,0.000670098,1.0268
0.000701348,1.00005,,0.000701348,1.02958
0.000732598,1.00041,,0.000732598,1.02656
0.000763848,1.00061,,0.000763848,1.01981
0.000795098,1.00064,,0.000795098,1.0115
0.000826348,1.00056,,0.000826348,1.00347
0.000857598,1.00041,,0.000857598,0.997008
0.000888848,1.00022,,0.000888848,0.992803
0.000920098,1.00005,,0.000920098,0.990963
0.000951348,0.999918,,0.000951348,0.991164
0.000982598,0.999833,,0.000982598,0.99282
0.00101385,0.9998,,0.00101385,0.995256
0.0010451,0.99981,,0.0010451,0.997846
0.00107635,0.99985,,0.00107635,1.0001
0.0011076,0.999905,,0.0011076,1.00174
0.00113885,0.999961,,0.00113885,1.00263
0.0011701,1.00001,,0.0011701,1.00283
0.00120135,1.00004,,0.00120135,1.0025
0.0012326,1.00006,,0.0012326,1.00183
0.00126385,1.00006,,0.00126385,1.00102
0.0012951,1.00005,,0.0012951,1.00026
0.00132635,1.00004,,0.00132635,0.999662
0.0013576,1.00002,,0.0013576,0.999281
0.00138885,1,,0.00138885,0.999126
0.0014201,0.999991,,0.0014201,0.999162
0.00145135,0.999983,,0.00145135,0.999331
0.0014826,0.999981,,0.0014826,0.999569
0.00151385,0.999982,,0.00151385,0.999817
0.0015451,0.999986,,0.0015451,1.00003
0.00157635,0.999991,,0.00157635,1.00018
0.0016076,0.999997,,0.0016076,1.00026
0.00163885,1,,0.00163885,1.00027
0.0016701,1,,0.0016701,1.00023
0.00170135,1.00001,,0.00170135,1.00017
0.0017326,1.00001,,0.0017326,1.00009
0.00176385,1,,0.00176385,1.00002
0.0017951,1,,0.0017951,0.999963
0.00182635,1,,0.00182635,0.999929
0.0018576,1,,0.0018576,0.999916
0.00188885,0.999999,,0.00188885,0.999921
0.0019201,0.999998,,0.0019201,0.999938
0.00195135,0.999998,,0.00195135,0.999961
0.0019826,0.999998,,0.0019826,0.999985
0.00201385,0.999999,,0.00201385,1
0.0020451,0.999999,,0.0020451,1.00002
0.00207635,1,,0.00207635,1.00003
0.0021076,1,,0.0021076,1.00003
0.00213885,1,,0.00213885,1.00002
0.0021701,1,,0.0021701,1.00002
0.00220135,1,,0.00220135,1.00001
0.0022326,1,,0.0022326,1
0.00226385,1,,0.00226385,0.999996
0.0022951,1,,0.0022951,0.999993
0.00232635,1,,0.00232635,0.999992
0.0023576,1,,0.0023576,0.999993
0.00238885,1,,0.00238885,0.999994
0.0024201,1,,0.0024201,0.999996
0.00245135,1,,0.00245135,0.999999
0.0024826,1,,0.0024826,1
0.00251385,1,,0.00251385,1
0.0025451,1,,0.0025451,1
0.00257635,1,,0.00257635,1
0.0026076,1,,0.0026076,1
0.00263885,1,,0.00263885,1
0.0026701,1,,0.0026701,1
0.00270135,1,,0.00270135,1
0.0027326,1,,0.0027326,1
0.00276385,1,,0.00276385,0.999999
0.0027951,1,,0.0027951,0.999999
0.00282635,1,,0.00282635,0.999999
0.0028576,1,,0.0028576,0.999999
0.00288885,1,,0.00288885,1
0.0029201,1,,0.0029201,1
0.00295135,1,,0.00295135,1
0.0029826,1,,0.0029826,1
0.00301385,1,,0.00301385,1
0.0030451,1,,0.0030451,1
0.00307635,1,,0.00307635,1
0.0031076,1,,0.0031076,1
0.00313885,1,,0.00313885,1
0.0031701,1,,0.0031701,1
0.00320135,1,,0.00320135,1
0.0032326,1,,0.0032326,1
0.00326385,1,,0.00326385,1
0.0032951,1,,0.0032951,1
0.00332635,1,,0.00332635,1
0.0033576,1,,0.0033576,1
0.00338885,1,,0.00338885,1
0.0034201,1,,0.0034201,1
0.00345135,1,,0.00345135,1
0.0034826,1,,0.0034826,1
0.00351385,1,,0.00351385,1
0.0035451,1,,0.0035451,1
0.00357635,1,,0.00357635,1
0.0036076,1,,0.0036076,1
0.00363885,1,,0.00363885,1
0.0036701,1,,0.0036701,1
0.00370135,1,,0.00370135,1
0.0037326,1,,0.0037326,1
0.00376385,1,,0.00376385,1
0.0037951,1,,0.0037951,1
0.00382635,1,,0.00382635,1
0.0038576,1,,0.0038576,1
0.00388885,1,,0.00388885,1
0.0039201,1,,0.0039201,1
0.00395135,1,,0.00395135,1
0.0039826,1,,0.0039826,1
0.004,1,,0.004,1
